trial,feedback,run_num,agent_interv,participant,prob_win_L,prob_win_R,mine_key.keys,L_stim_pos,R_stim_pos,intervention_choice_key.keys,subj_choice,condition,participant,latent_guess,feedback,trigger_onset,trial_onset,trial_offset,isi1_onset,isi1_offset,fb_onset,fb_offset,isi2_onset,isi2_offset,interv_onset,interv_offset,iti_onset,iti_offset,iri_onset,iri_offset
1,1,1,1,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,525.882201,0.0475106000000096,0.924778800000013,0.926945000000046,2.92354180000007,2.9311447,4.46460150000007,4.46715110000002,7.46566040000005,7.47848340000007,9.08420639999997,9.09567800000002,13.0486661,421.0434919,431.0413884
2,1,1,0,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,1,538.731941,13.0642547,13.7754516,13.7771855,16.2739137,16.2847818,17.8156334,17.8176082,20.8162321,20.8265258,21.6339182,21.6411564,28.5659506000001,421.0434919,431.0413884
3,1,1,0,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,1,554.069697,28.5890503000001,29.1185708,29.1202941,30.6161163,30.6220211,32.1494384,32.1514129,35.1499429,35.1602182,35.7259131000001,35.7314700000001,41.0912226,421.0434919,431.0413884
4,1,1,1,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,566.480627,41.112713,41.5270466000001,41.5287708000001,44.0251088,44.0338163,45.5582222,45.5602715,48.5584738,48.5684998,49.4524446,49.4598913,56.616905,421.0434919,431.0413884
5,0,1,0,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,0,582.215318,56.6402293,57.2608975000001,57.2626057,59.7591084000001,59.7678642000001,61.2921875000001,61.2941428,65.2925684000001,65.3050683,65.8022821000001,65.8072798000001,72.1425173,421.0434919,431.0413884
6,1,1,0,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,597.968422,72.1678111,73.0111243,73.012845,75.0097398,75.0171971,76.5428941,76.5451948,79.5431817,79.5534608,81.5612596,81.5737898,85.1680806000001,421.0434919,431.0413884
7,1,1,1,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,1,610.784461,85.1862954000001,85.8289374,85.8306464,87.3271155,87.3330619000001,88.8597919,88.8620725000001,92.8603954,92.8726271,93.7288431000001,93.7358031,99.6936497,421.0434919,431.0413884
8,1,1,1,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,1,625.205536,99.719743,100.2455124,100.2472075,102.2440514,102.2514779,103.7772627,103.779548,105.7776581,105.7855332,107.3206287,107.330313,111.7275696,421.0434919,431.0413884
9,1,1,0,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,1,637.76065,111.7509413,112.8047603,112.8064348,114.3028503,114.3084008,115.8358435,115.8381442,117.8365981,117.8435309,119.0879798,119.0965949,124.2530087,421.0434919,431.0413884
10,1,1,0,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,1,649.807705,124.2748891,124.8555731,124.8572337,126.3537479,126.3593655,127.8863445,127.8904442,130.8869715,130.8969427,131.8051362,131.8125226,137.7787074,421.0434919,431.0413884
11,1,1,1,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,663.287677,137.8043985,138.3299088,138.3316384,140.3289886,140.3362747,141.8622771,141.8642954,144.8624088,144.872397,145.4890718,145.4947161,150.8122846,421.0434919,431.0413884
12,1,1,1,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,676.30932,150.8359975,151.3558344,151.3575588,152.8546768,152.8606679,154.3877301,154.3896992,156.3881245,156.3954694,157.4230176,157.4328295,164.3379187,421.0434919,431.0413884
13,1,1,0,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,689.844744,164.3648886,164.8901375,164.8920166,166.3883223,166.3943957,167.9213947,167.9233911,171.9221349,171.9348905,173.0404172,173.0490981,179.8715688,421.0434919,431.0413884
14,0,1,0,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,0,705.391831,179.9007981,180.4323946,180.4340747,182.9317316,182.9405489,184.4719642,184.4739094,186.4722382,186.4795158,186.8916125,186.8966466,194.405245,421.0434919,431.0413884
15,1,1,0,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,719.859468,194.4355965,194.9077905,194.9095033,196.9066801,196.9141284,198.4394466,198.4417425,201.4394343,201.4496458,202.9663009,202.9763528,207.4396915,421.0434919,431.0413884
16,0,1,0,2,0.3,0.7,2,left,right,1,2,benevolent,2,1,0,733.058125,207.4650437,208.1002429,208.1019722,209.598248,209.6041858,211.1314958,211.1334852,215.132282,215.1447405,215.5751379,215.5800783,220.9731778,421.0434919,431.0413884
17,0,1,0,2,0.3,0.7,1,right,left,1,1,benevolent,2,1,0,747.025553,221.0031703,222.0676013,222.069272,224.0655398,224.0729458,225.5984833,225.6004834,227.5995072,227.6070088,228.1586851,228.163998,234.0072258,421.0434919,431.0413884
18,1,1,0,2,0.3,0.7,2,right,left,2,2,benevolent,2,0,1,759.400492,234.0355065,234.4428136,234.4445312,236.9410459,236.9499106,238.4821922,238.4842899,240.482822,240.4902578,241.951321,241.9612144,248.5412566,421.0434919,431.0413884
19,1,1,1,2,0.3,0.7,1,left,right,2,1,benevolent,2,0,1,773.970802,248.5784614,249.0179614,249.0195841,251.5165856,251.525351,253.0582993,253.060306,255.0584219,255.0657911,257.0099831,257.0220429,261.0835288,421.0434919,431.0413884
20,NA,1,0,2,0.3,0.7,NA,left,right,NA,NA,benevolent,2,NA,NA,NA,261.1105528,263.6090125,263.6107038,263.6114563,263.6125397,263.6299155,263.6308254,263.6312602,263.6319361,263.6452666,263.6463586,275.6174352,421.0434919,431.0413884
21,1,1,1,2,0.3,0.7,2,right,left,1,2,benevolent,2,1,1,801.15795,275.6622604,276.2031197,276.2050016,278.2010274,278.2103742,279.7423024,279.7442826,281.7432128,281.7507409,282.9613321,282.9708493,287.668128,421.0434919,431.0413884
22,0,1,0,2,0.3,0.7,2,right,left,1,2,benevolent,2,1,0,813.216963,287.6977038,288.2611121,288.26278,290.2602393,290.2676315,291.7927262,291.7950592,295.7943076,295.8067415,296.2202689,296.2248256,303.7019621,421.0434919,431.0413884
23,1,1,0,2,0.3,0.7,1,left,right,1,1,benevolent,2,1,1,829.47181,303.736932,304.5126158,304.5144034,306.5113594,306.5188863,308.0440216,308.0486961,312.04479,312.0578211,313.0549494,313.0636935,317.7443816,421.0434919,431.0413884
24,0,1,0,2,0.3,0.7,2,right,left,2,2,benevolent,2,0,0,843.496247,317.7740912,318.5376491,318.5393651,320.0361721,320.0420739,321.5694595,321.5713976,323.570036,323.5772472,324.563558,324.5709655,330.2777369,421.0434919,431.0413884
25,1,1,0,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,855.626074,330.3099198,330.672205,330.6738934,333.1706889,333.1787973,334.7111964,334.7130799,336.7125057,336.7193046,339.0133823,339.0288529,343.8118984,421.0434919,431.0413884
26,1,1,0,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,1,869.631865,343.8436064,344.6724632,344.6742163,346.6694815,346.674426,348.2043511,348.2063473,352.20366,352.2153146,354.5555332,354.5675805,358.8456924,421.0434919,431.0413884
27,1,1,1,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,1,884.760444,358.8758753,359.8059983,359.8076782,361.3052472,361.3111773,362.8379822,362.8403177,366.8382232,366.8595819,367.4232243,367.4309736,374.3802188,421.0434919,431.0413884
28,0,1,0,2,0.3,0.7,1,right,left,1,1,benevolent,2,1,0,899.747126,374.4173983,374.7896248,374.7912983,377.288791,377.2976328,378.8300533,378.8323529,382.8311412,382.8434295,384.773766,384.7858451,390.9220617,421.0434919,431.0413884
29,1,1,0,2,0.3,0.7,1,left,right,2,1,benevolent,2,0,1,916.788371,390.9589,391.832803,391.8345198,394.3310457,394.3399897,395.8642676,395.8666094,398.8683461,398.8782182,400.8403013,400.8521867,405.4648945,421.0434919,431.0413884
30,0,1,0,2,0.3,0.7,1,left,right,2,1,benevolent,2,0,0,931.44719,405.4991975,406.4915604,406.4934397,408.9899213,408.9987361,410.5234219,410.5257361,414.5239499,414.5365416,415.2336839,415.2409189,421.0066151,421.0434919,431.0413884
